,Title,Topic,Title Length,Title Parsed,Title Parsed Length,Topic Codes
110,Introduction to Perimeter | #aumsum #kids #science #education #children,Perimeter,71,kid education children science aumsum perimeter,47,9
111,Phonics Course Level 1 | Learn Phonics For Kids | Alphabet Sounds | Phonics For Pre School,Indices,90,kid alphabet sound level course pre phonics,43,7
112,Lesson 4. Directed Numbers | Maths Session for Grade 08,Directed Numbers,55,direct session,14,6
113,Area and Perimeter,Perimeter,18,perimeter area,14,9
114,O/L Maths Lessons in Sinhala - Perimeter | Grade 8 Lesson 2 Mathematics in Sinhala | guruthuma,Perimeter,94,lessons sinhala perimeter,25,9
115,Reflectional Symmetry and Rotational Symmetry | Don't Memorise,Symmetry,62,memorise reflectional dont symmetry rotational,46,1
116,Introduction to rational and irrational numbers | Algebra I | Khan Academy,Directed Numbers,74,algebra irrational rational,27,6
117,Practice finding patterns in numbers | 3rd grade | Khan Academy,Number Patterns,63,practice pattern find,21,3
118,Law of indices (all index laws) - Math,Indices,38,indices laws,12,7
119,"10 Math Games That'll Boost Your Brain Power By 80%"",",Algebra Expression,53,power,5,5
120,Lesson 6. Factors of the Algebraic Expressions | Maths Session for Grade 9,Algebra Expression,74,algebraic factor expressions session,36,5
121,Symmetry - (CBSE Grade: 06 Maths,Symmetry,32,symmetry,8,1
122,Angles - Types and definition - Mathematics for kids,Angles,52,angle kid definition type,25,8
123,What is Reflectional Symmetry | Class 7th Maths,Symmetry,47,reflectional symmetry,21,1
124,Year 7 Indices,Indices,14,indices,7,7
125,"Intro to Angles for Kids: Understanding Angles for Children - FreeSchool Math"", ",Angles,80,understand kid children angle intro freeschool,46,8
126,Factors and Multiples - Playing with Numbers | Class 6 Maths,Factors and Multiplication,60,multiples factor,16,4
127,Reflectional Symmetry and Rotational Symmetry | Don't Memorise,Symmetry,62,memorise reflectional dont symmetry rotational,46,1
128,"Math Antics - Points, Lines, & Planes",Angles,37,point line,10,8
130,ALGEBRAIC EXPRESSIONS & EQUATIONS | GRADE 6,Algebra Expression,43,algebraic expressions equations,31,5
131,6th Grade Math Assessment Practice Day 1,Sets,40,practice,8,0
132,Lesson 8. Square Root | Maths Session for Grade 08,Number Patterns,50,root square session,19,3
133,Good Manners in Everyday Life for kids in English | Good Manners Videos For All | Good Habit,Symmetry,92,english kid videos,18,1
134,Set Theory - Union Intersection Complement Subset - Class 7 & 8 Math,Sets,68,union set intersection,22,0
135,The Pythagorean theorem intro | Right triangles and trigonometry | Geometry | Khan Academy,Angles,90,pythagorean theorem intro geometry triangles,44,8
136,Fractional Exponents,Indices,20,exponents,9,7
137,Algebra Basics: Solving 2-Step Equations - Math Antics,Directed Numbers,54,algebra solve basics step equations,35,6
138,Grade 2  Maths Number Patterns,Number Patterns,30,pattern,7,3
139,Simple Math Tricks You Weren\u2019t Taught at School,Sets,52,simple \ut trick teach,22,0
140,6th Std English || Grammar Time || Parts of Speech || English Grammar || Prose,Indices,78,time english std grammar,24,7
141,26 FAST MATHS TRICKS YOU MUST KNOW,Factors and Multiplication,34,trick fast must know,20,4
142,Algebraic Expressions and Identities full lesson | Mathematics | Class 8 | CBSE Syllabus,Algebra Expression,88,syllabus full algebraic expressions identities,46,5
143,Understand and Learn the Rules of Positive and Negative Numbers,Directed Numbers,63,positive understand negative rule,33,6
144,"Indices (Powers)"", ",Indices,19,power indices,13,7
145,Laws Of Indices - Part 1 | Algebra | Maths | FuseSchool,Indices,55,fuseschool algebra indices laws,31,7
146,5th std Maths Syllabus | Mathematics | Money Part -1 | Exercises & Activities,Perimeter,77,syllabus activities exercise std,32,9
147,Factors and Multiples,Factors and Multiplication,21,multiples factor,16,4
148,Lesson 4. Directed Numbers | Maths Session for Grade 08,Number Patterns,55,direct session,14,3
149,Angles - Types and definition - Mathematics for kids,Angles,52,angle kid definition type,25,8
150,Class 5th Shapes and angles chapter 2 Maths,Angles,43,angle shape,11,8
151,Number sets | Fractions | Pre-Algebra | Khan Academy,Directed Numbers,52,prealgebra fraction set,23,6
152,A Trick for Adding and Subtracting Negative Numbers,Directed Numbers,51,negative add trick subtract,27,6
153,Rubi Theresa  Trick to remember trigonometric values|Palm Trick (In English,Perimeter,75,english remember trick,22,9
154,Missing value addition and subtraction problems with negative numbers | 7th grade | Khan Academy,Directed Numbers,96,negative problems addition value subtraction,44,6
155,26 FAST MATHS TRICKS YOU MUST KNOW,Indices,34,trick fast must know,20,7
156,INTRODUCTION to SET THEORY - DISCRETE MATHEMATICS,Sets,49,set,3,0
157,Learning about Area | #aumsum #kids #science #education #children,Perimeter,65,kid education children area science aumsum,42,9
158,Lesson 3. Angles | Maths Session for Grade 08,Number Patterns,45,angle session,13,3
159,Basic addition | Addition and subtraction | Arithmetic | Khan Academy,Indices,69,arithmetic addition basic subtraction,37,7
160,Direct And Indirect Objects | English Grammar & Composition Grade 5 | Periwinkle,Sets,80,english direct composition grammar,34,0
161,Negative Numbers: An Overview,Directed Numbers,29,negative,8,6
163,Prime factorization | Factors and multiples | Pre-Algebra | Khan Academy,Factors and Multiplication,72,factor prime factorization multiples prealgebra,47,4
164,Grade 8 Geometry,Angles,16,geometry,8,8
165,Class 5 || Maths || Decimal Fractions,Perimeter,37,fraction decimal,16,9
166,Math Antics - Perimeter,Perimeter,23,perimeter,9,9
167,What is a Linear Equation in One Variable? | Don't Memorise,Algebra Expression,59,memorise linear one variable dont,33,5
168,Perimeter for Kids | Math Lesson ,Perimeter,33,kid perimeter,13,9
169,Rounding The Numbers | Mathematics Grade 5 | Periwinkle,Operations of Whole Number,55,round,5,2
170,Regrouping whole numbers | Arithmetic properties | Pre-Algebra | Khan Academy,Operations of Whole Number,77,arithmetic whole prealgebra properties,38,2
171,Introduction to transformations | Transformations | Geometry | Khan Academy,Angles,75,geometry transformations,24,8
172,A Trick for Adding and Subtracting Negative Numbers,Directed Numbers,51,negative add trick subtract,27,6
173,Introduction - Mensuration - Chapter 11 - NCERT Class 8th Maths,Perimeter,63,ncert,5,9
174,Perimeter of a shape | Measurement | Pre-Algebra | Khan Academy,Perimeter,63,prealgebra shape measurement perimeter,38,9
175,Lesson 1. Number Patterns | Maths Session for Grade 09,Number Patterns,54,pattern session,15,3
176,Equivalent expressions with distribution and negative numbers | 7th grade | Khan Academy,Directed Numbers,88,negative expressions,20,6
177,Math Antics - Perimeter,Perimeter,23,perimeter,9,9
178,Negative numbers introduction | Negative numbers and absolute value | Pre-Algebra | Khan Academy,Directed Numbers,96,negative prealgebra value,25,6
179,Factors and Multiples | Mathematics Grade 5 | Periwinkle,Factors and Multiplication,56,multiples factor,16,4
181,1st STD Maths CBSE Syllabus | CBSE Maths | Chapter - Bigger Number | Mathematics Lesson -11,Symmetry,91,st std syllabus,15,1
182,Lesson 5. Algebraic Expressions | Maths Session for Grade 08,Algebra Expression,60,algebraic expressions session,29,5
183,Relations and functions | Functions and their graphs | Algebra II | Khan Academy,Symmetry,80,algebra function,16,1
184,19 Best Short English Stories for Kids Collection | Infobells,Symmetry,61,english kid,11,1
186,Math Antics - Angles & Degrees,Angles,30,angle degrees,13,8
187,What is Number Sequencing?,Number Patterns,26,sequence,8,3
188,Lesson 1 - Multiply Whole Numbers By Fractions (5th Grade Math,Operations of Whole Number,62,whole multiply fraction,23,2
189,Ones & Tens | Mathematics Grade 1 | Periwinkle,Operations of Whole Number,46,tens ones,9,2
190,"""Q 10, Ex 11.3 - Perimeter and Area - Chapter 11 - Maths Class 7th - NCERT"",",Perimeter,76,q ncert area ex perimeter,25,9
191,Algebra Basics: What Is Algebra? - Math Antics,Directed Numbers,46,basics algebra,14,6
192,Math Antics - Telling Time,Angles,26,time,4,8
193,Triangles | Mathematics Grade 5 | Periwinkle,Angles,44,triangles,9,8
194,Lesson 5. Indices | Maths Session for Grade 07,Indices,46,indices session,15,7
195,Class 5 || Maths || Fractions   Equivalent Fractions,Perimeter,52,fraction,8,9
196,How to Remember what you study? | How to Increase your Memory Power? | Study Tips | Letstute,Angles,92,power study remember letstute tip,33,8
197,"""5th std Maths Syllabus | Mathematics | Money Part -1 | Exercises & Activities",Symmetry,78,syllabus activities exercise std,32,1
198,Line Of Symmetry | Mathematics Grade 4 | Periwinkle,Symmetry,51,line symmetry,13,1
199,Learning Factors | Mathematics Grade 4 | Periwinkle,Factors and Multiplication,51,factor,6,4
200,Phonics Chapter 1 : Sounds of Alphabets | Learn Phonics  | Phonics Classroom Teaching,Perimeter,85,sound classroom teach phonics alphabets,39,9
201,Finding factors of a number | Factors and multiples | Pre-Algebra | Khan Academy,Factors and Multiplication,80,multiples prealgebra factor find,32,4
202,Relationship Of Multiplication And Division | Mathematics Grade 3 | Periwinkle,Factors and Multiplication,78,division multiplication,23,4
203,Grade 8 Numeric patterns Part 1,Number Patterns,31,numeric pattern,15,3
205,Lesson 8. Square Root | Maths Session for Grade 08,Number Patterns,50,root square session,19,3
206,ors and multiples | Playing with numbers #1 | Class 6 Maths,Factors and Multiplication,59,multiples,9,4
207,Math patterns example 2 | Applying mathematical reasoning | Pre-Algebra | Khan Academy,Number Patterns,86,prealgebra mathematical pattern example,39,3
208,Lines and Angles | Geometry | Math | Letstute,Angles,45,letstute geometry angle line,28,8
209,"Grade 6 Math #1.1, What are Exponents - How to Read and Write them",Indices,66,exponents,9,7
210,Everything About Circle Theorems - In 3 minutes,Angles,47,circle,6,8
211,Numbers & Place value - Part 2 | 5th std Maths Syllabus | Mathematics,Operations of Whole Number,69,syllabus place std value,24,2
212,Math Antics - Perimeter,Symmetry,23,perimeter,9,1
213,What is ACID RAIN? | Acid Rain | Dr Binocs Show | Kids Learning Video | Peekaboo Kidz,Perimeter,85,video kid,9,9
214,"Learn Subtraction Using Number Line | Mathematics Book B | Periwinkle"", ",Directed Numbers,72,line use subtraction,20,6
215,SOLVING ALGEBRAIC EQUATIONS | GRADE 6,Algebra Expression,37,solve equations algebraic,25,5
216,Introduction - Mensuration - Chapter 11 - NCERT Class 8th Maths,Perimeter,63,ncert,5,9
217,Expanded Notation of A Number | Mathematics Grade 4 | Periwinkle,Operations of Whole Number,64,notation,8,2
218,Symmetry full chapter | Mathematics | Class 7 | CBSE Syllabus,Symmetry,61,syllabus full symmetry,22,1
219,ass-7 | Multiplication of Algebraic Expression | Algebraic Expression by ajay sir,Algebra Expression,81,algebraic expression multiplication,35,5
220,apes and Angles Measurement  - Part 1 | 5th std Maths Syllabus | Mathematics,Factors and Multiplication,76,syllabus angle std measurement,30,4
221,Prime and Composite Numbers | Mathematics Grade 4 | Periwinkle,Factors and Multiplication,62,composite prime,15,4
222,What are Real Numbers? | Don't Memorise,Directed Numbers,39,memorise dont,13,6
223,Abacus Class - Introduction | Learn basics Abacus | Beginners Abacus Lesson 1,Indices,77,abacus basics beginners,23,7
225,Grade 8 Numeric and Geometric Patterns,Number Patterns,38,numeric pattern,15,3
226,How to classify numbers | Numbers and operations | 8th grade | Khan Academy,Operations of Whole Number,75,operations,10,2
227,Class 5 || Maths || Decimal Fractions,Indices,37,fraction decimal,16,7
228,Grade 8 - Mathematics - Algebraic Equations 1 / WorksheetCloud Video Lesson,Algebra Expression,75,algebraic video worksheetcloud equations,40,5
229,Introduction to Perimeter | #aumsum #kids #science #education #children,Perimeter,71,kid education children science aumsum perimeter,47,9
230,What are examples of adjacent angle,Angles,35,angle,5,8
231,Finding LCM using prime factorisation,Indices,37,factorisation prime find lcm use,32,7
232,Direct And Indirect Objects | English Grammar & Composition Grade 5 | Periwinkle,Directed Numbers,80,english direct composition grammar,34,6
233,What is a Universal Set? | Don't Memorise,Sets,41,memorise set dont,17,0
234,ALGEBRAIC EXPRESSIONS & EQUATIONS | GRADE 6,Algebra Expression,43,algebraic expressions equations,31,5
235,Factors and Multiples | Mathematics Grade 5 | Periwinkle,Factors and Multiplication,56,multiples factor,16,4
236,Perimeter | Mathematics Grade 3 | Periwinkle,Perimeter,44,perimeter,9,9
237,Maths Algebraic Expressions part 1 (Introduction) CBSE Class 7  Mathematics VI,Algebra Expression,78,algebraic vi expressions,24,5
239,Grade 8 Lessons 1 - Numbers Patterns,Number Patterns,36,lessons pattern,15,3
240,Algebraic Expressions,Algebra Expression,21,algebraic expressions,21,5
241,Grade 8 - Mathematics - Algebraic Expression 1 / WorksheetCloud Online Lesson,Algebra Expression,77,algebraic expression online worksheetcloud,42,5
242,Highest Common Factor (HCF) | Mathematics Grade 4 | Periwinkle,Sets,62,common hcf factor,17,0
243,Math Antics - Integer Multiplication & Division,Directed Numbers,47,division multiplication,23,6
244,Lesson 2. Place Value | Maths Session for Grade 06,Indices,50,session place value,19,7
245,Line Of Symmetry | Mathematics Grade 4 | Periwinkle,Symmetry,51,line symmetry,13,1
246,"Divisibility tests for 2, 3, 4, 5, 6, 9, 10 | Factors and multiples | Pre-Algebra | Khan Academy",Factors and Multiplication,96,divisibility factor test multiples prealgebra,45,4
247,Symmetry - More Math for Grades 6-8 on the Learning Videos Channel,Symmetry,66,channel videos symmetry,23,1
248,Parabola vertex and axis of symmetry | Quadratic equations | Algebra I | Khan Academy,Symmetry,85,algebra equations symmetry,26,1
249,Fractions Part-2 || 5th std Maths Syllabus || Exercises and Activities || Easy to Learn Maths,Symmetry,93,fraction easy std syllabus exercise activities,46,1
250,Symmetry - Grade 8 - 11th lesson - English Medium - Sri Lankan National Curriculum,Symmetry,82,english lankan curriculum national sri symmetry medium,54,1
251,Local and Self Government | Marvel Semester Series Social Studies Grade 4 | Periwinkle,Indices,86,study series,12,7
252,"Exterior Angle Theorem For Triangles, Practice Problems - Geometry",Angles,66,practice angle theorem problems geometry triangles,50,8
253,Basic Division | #aumsum #kids #science #education #children,Indices,60,kid division education basic children science aumsum,52,7
254,Grade 8 Numeric patterns Part 1,Number Patterns,31,numeric pattern,15,3
255,Introduction to Perimeter | #aumsum #kids #science #education #children,Perimeter,71,kid education children science aumsum perimeter,47,9
256,Symmetry | Class 7 | Maths| CBSE | ICSE | FREE Tutoria,Symmetry,54,free icse symmetry,18,1
257,Rules Of Divisibility | Mathematics Grade 4 | Periwinkle,Number Patterns,56,divisibility rule,17,3
258,Factors and Multiples made easy |Prime Factorization| Find factors of all numbers| Class 1 to 5,Angles,95,factor prime find easy factorization multiples,46,8
259,Addition And Subtraction Of Integers | Mathematics Grade 5 | Periwinkle,Directed Numbers,71,addition integers subtraction,29,6
260,Math Antics - Factoring,Factors and Multiplication,23,factor,6,4
261,Basics of Algebraic Expressions (GMAT/GRE/CAT/Bank PO/SSC CGL) | Don't Memorise,Algebra Expression,79,memorise dont basics algebraic expressions,42,5
262,Introduction To Negative Numbers |  Maths Concept For Kids | Maths Grade 5 | Periwinkle,Directed Numbers,87,kid negative concept,20,6
263,"Understanding Elementary Shapes\"" Chapter 5 - Introduction - Class 6th Maths",Sets,76,understand,10,0
264,Number Patterns | Maths For Class 2 | Maths Basics For CBSE Children,Number Patterns,68,basics children pattern,23,3
265,w to evaluate expressions with two variables | 6th grade | Khan Academy,Indices,71,expressions two,15,7
266,Highest Common Factor (HCF) | Mathematics Grade 4 | Periwinkle,Factors and Multiplication,62,common hcf factor,17,4
267,Math Antics - Adding & Subtracting Integers,Directed Numbers,43,add integers subtract,21,6
268,"Whole Number Operations | Adding, Subtracting, Multiplying, and Dividing",Operations of Whole Number,72,divide subtract whole operations multiply add,45,2
269,Math Antics - Perimeter,Sets,23,perimeter,9,0
270,Lesson 6. Factors of the Algebraic Expressions | Maths Session for Grade 9,Algebra Expression,74,algebraic factor expressions session,36,5
271,"Introduction to ratios | Ratios, rates, and percentages | 6th grade | Khan Academy",Indices,82,rat ratios,10,7
273,Types of Sets Grade 6,Sets,21,set type,8,0
274,Squares Of Numbers | Mathematics Grade 5 | Periwinkle,Factors and Multiplication,53,square,6,4
275,Intervals and interval notation | Functions | Algebra I | Khan Academy,Sets,70,algebra function notation,25,0
276,Complementary and supplementary angles | Angles and intersecting lines | Geometry | Khan Academy,Angles,96,geometry intersect angle line,29,8
277,Lesson 3. Operations on whole numbers | Maths Session for Grade 07,Operations of Whole Number,66,whole operations session,24,2
278,Multiplication Tables upto 1000 in vedic maths | Speed Maths | Vedic Mathematics,Algebra Expression,80,multiplication,14,5
279,Basic Algebra Formulas | Part 1 | (Maths Formulas) | SSC MATHS | Shortcut World | Online CSK,Algebra Expression,92,online algebra basic,20,5
280,Subtraction for kids - Learn how to subtract - Mathematics for kids ,Operations of Whole Number,68,kid subtract subtraction,24,2
281,Abacus Class - Introduction | Learn basics Abacus | Beginners Abacus Lesson 1,Directed Numbers,77,abacus basics beginners,23,6
282,"Rubi Theresa  Trick to remember trigonometric values|Palm Trick (In English)"", ",Perimeter,79,english remember trick,22,9
283,Angles | Mathematics Grade 4 | Periwinkle,Angles,41,angle,5,8
284,Algebra Trick to save you time (Algebra Tricks),Algebra Expression,47,time algebra trick,18,5
285,Magic with numbers | Number tricks | Smart Learning Tube,Sets,56,trick,5,0
286,Math Antics - Basic Probability,Indices,31,basic probability,17,7
287,Lesson 4. Directed Numbers | Maths Session for Grade 08,Number Patterns,55,direct session,14,3
288,Using factors and multiples to figure out days of the week | Pre-Algebra | Khan Academy,Factors and Multiplication,87,factor figure multiples prealgebra use,38,4
