,"sum is divisible by 3, we're in business. So if you take 120-- let"
,"me do it over here. 1 plus 2 plus 0, well, that's"
,"equal to 1 plus 2 is 3 plus 0 is 3, and 3 is definitely"
,divisible by 3. So 120 is going to be
,divisible by 3. To figure what that number that
,"you have to multiply by 3 is, you could do it"
,"in your head. You could say, well, 3 goes into"
,"12 four times, and then you-- well, let me just do it"
,"out, just in case, just for those of you who want to"
,see it worked out. 3 goes into 12 four times. 4 times 3 is 12. You subtract. You're left with nothing here. You bring down this 0. 3 goes into 0 zero times. 0 times 
,3 is 0. Nothing left over. So it goes into it
,forty times. And the way to think of it in
,"your head is this is the same thing as 12 times 10. 12 divided by 3 is 4, but this"
,"is going to be 4 times 10, because you have that"
,"10 left over. Whatever works for you. Or you can just ignore the 0,"
,"divide by 3, you get a 4, and then put the 0 back there. Whatever works. So we have two more factors. At the low end, we have 3, and"
,"at the high end, we have a 40. Now, let's see if 4 divisible"
,into 120. Now we saw the divisibility
,rule for 4 is you ignore everything beyond the tens
,places and you just look at the last two digits. So if we're going to to think
,"about whether 4 is divisible, you just look at the"
,last two digits. The last two digits are 20. 20 is definitely divisible
,"by 4, so 120 will be divisible by 4. 4 is going to be a factor. And to figure out what we have"
,"to multiply 4 by to get 120, you could do it in your head. You could say 12 divided"
,"by 4 is 3, so 120 divided by 4 is 30. So we have two more"
,factors: 4 and 30. And you could work this out in
,"long division if you want to make sure that this works out,"
,so let's keep going. And then we have 120 is equal
,to-- is 5 a factor? Is 5 times something
,"equal to 120? Well, you can't do that simple--"
,"well, first of all, we could just test"
,"is it divisible? And 120 ends with a 0. If you end with a 0 or a 5,"
,you are divisible by 5. So 5 definitely goes into it. Let's figure out
,"how many times. So 5 goes into 120. It doesn't go into 1. It goes into 12 two times. 2 times 5 is 10. Subtract. You get 2. Bring down the 0. 5 goes into 20 four times. 4 times 5 is 20, and then you"
,"subtract, and you have no left over, as we expect, because"
,it should go in evenly. This number ends with
,a 0 or a 5. Let me delete all of this so we
,can have our scratch space to work with later on. So 5 times 24 is also equal
,"to 120, we have two more factors: 5 and 24. Let me clear up some space here"
,because I think we're going to be dealing with
,a lot of factors. So let me move this
,right here. Let me cut it and then let me
,paste it and move this over here so we have more space
,for our factors. So we have 5 and 24. Let's move on to 6. So 120 is equal to
,"6 times what? Now, to be divisible by"
,"6, you have to be divisible by 2 and 3. Now, we know that we're already"
,"divisible by 2 and 3, so we're definitely going to"
,"be divisible by 6, and you should hopefully be able to"
,do this one in your head. 5 was a little bit harder to do
,"in your head. but 120, you could say, well, 12 divided by 6"
,"is 2, and then you have that 0 there, so 120 divided"
,by 6 would be 20. And you could work it out in
,long division if you like. So 6 times 20 are two
,"more factors. Now let's think about 7. Let's think about 7 here. 7 is a very bizarre number, and"
,"just to test it, you could think of other ways to do it. Let's just try to divide"
,"7 into 120. 7 doesn't go into 1. It goes into 12 one time. 1 times 7 is 7. You subtract. 12 minus 7 is 5. Bring down the 0. 7 times 7 is 49, so it goes"
,"into it seven times. 7 times 7 is 49. Subtract. You have a remainder, so it"
,does not divide evenly. So 7 does not work. Now let's think about 8. Let's think about
,whether 8 works. Let's think about 8. I'll do the same process. Let's take 8 into 120. Let's just work it out. And just as a little bit
,"of a hint-- well, I'll just work it out. 8 goes into 12-- it doesn't"
,"go into 1, so it goes into 12 one time. 1 times 8 is 8. Subtract there. 12 minus 8 is 4. Bring down the 0. 8 goes into 40 five times. 5 times 8 is 40, and you're left"
,"with no remainder, so it goes evenly. So 120-- let me get"
,"rid of that. 120 is equal to 8 times 15, so"
,let's add that to our factor list. We now have an 8
,"and now we have a 15. Now, is it divisible by 9? Is 120 divisible by 9? To test that out, you just"
,"add up the digits. 1 plus 2 plus 0 is equal to 3. Well, that'll satisfy our 3"
,"divisibility rule, but 3 is not divisible by 9, so our"
,"number will not be divisible by 9. So 9 will not work out. 9 does not work out. So let's move on to 10. Well, this is pretty"
,"straightforward. It ends in 0, so we will"
,be divisible by 10. So let me write that down. 120 is equal to 10 times--
,"and this is pretty straightforward-- 10 times 12. This is exactly what 120 is. It's 10 times 12, so let's"
,write those factors down. 10 and 12. And then we have one
,"number left. We have 11. We don't have to go above 11,"
,"because we already went through 12, and we know that"
,"there aren't any factors above that, because we were going in"
,"descending order, so we've really filled in all the gaps. You could try 11. We could try it by hand,"
,"if you like. 11 goes into 120-- now you know,"
,if with you know your multiplication tables through
,"11, that this won't work, but I'll just show you. 11 goes into 12 one time. 1 times 11 is 11. Subtract. 1, bring down the 0. 11 goes into 10 zero times. 0 times 11 is 0. you're left with a"
,remainder of 10. So 11 goes into 20 ten times
,with a remainder of 10. It definitely does
,not go in evenly. So we have all of our factors
,"here: 1, 2, 3, 4, 5, 6, 8, 10, 12, 15, 20, 24, 30,"
,"40, 60 and 120. And we're done!"
,
FslcXS-SJ4g,hello children today i'm here to teach you chapter 11 in your textbook that's factors and multiples so in this lesson we are finding factors and multiples of a whole number and we are trying to solve problems related to factors and multiples and examine where the whole number is divisible by 2 5 and 10. look at this one multiples of 2. you already know multiples of 2. so what are the multiples of 2 2 times 1 2 2 times 2 4 2 x 3 6 two times four eight two times five ten two times six twelve 
,two times seven fourteen two times eight sixteen two times nine eighteen 2 times 10 20. write down the last digit of the multiples of 2. so when you look at the last digit i see 0 what else 2 then 4 6 eight these are the last digit of the multiples of two these are even numbers if the last digit is an even number or 0 the number is divisible by 2 without a remainder because these are multiples of 2. so look at the last digit if the last digit is 0 or even number the number is divisible by 2 without a remainder multiples of five five times one five five times two ten five times three fifteen five times four twenty five times five twenty five five times 
,six thirty five times seven thirty-five five times eight forty five times nine forty-five and five times ten 50 now write down the last digit of the multiples of 5 when you look at the last digit you can see either 0 or 5. so if the last digit is 0 or 5 the number is divisible by 5 without a remainder so how we identify the whether a number is divisible by 5 look at the last digit if the last digit is 0 or 5 the number is divisible by 5 without a remainder multiples of 10 10 times 1 10 10 times 2 20. 10 times 3 30 10 times 4 40. 10 times 5 50 10 times 660 ten times seven seventy ten times eight eighty ten times nine ninety and ten times ten hundred look at the last digit zeros so how we find out whether a number is divisible by 10 look at the last digit if the last digit is 0 the number is divisible by 10 without 
,a remainder now underline the numbers that are divisible by 2 without a remainder so how we identify look at the last digit the last digit is 0 or even number the number is divisible by 2. so here this is 4 it's divisible by 2 without a remainder but this is odd number this is again even it's divisible here 0 it's possible and 7 is an odd number it's not divisible 9 also odd number 4 again yes it is an even number and 672 the last digit is an even number underline the numbers that are divisible by 5 without a remainder so if the last digit is 0 or 5 it is divisible so this one this one here this this one here these are the numbers that are divisible by 5 without a remainder 5 or 0 as the last digit underline the numbers that are divisible by 10 without a remainder so that means the last digit should be zero so 240 this number here possible this is possible and you can't take the other two underline the three digit numbers that are divisible by 2 5 and 10 without a remainder so what's the condition this should be an even number if it's divisible by 2 5 means either 0 or 5 but 10 only 0 that means if we want to find out a number that's divisible by 2 5 10 the last digit should be zero so we'll find out what are the numbers with last digit zero this is divisible this is divisible here it's divisible these are okay but other numbers you can't take give the reason that 360 is divisible by 2 5 and 10 without a remainder as 360 is an even number it is divisible by 2 as last digit is 0 it is divisible by 5 or 10. look at this one 10 20 30 40 50 those are multiples of 10 as last digit is 0 is it divisible by 2 yes because it said the last digit is 0 it's divisible by 2 so we say yes is it divisible by 5 yes last digit is 0 0 or 5 it is divisible by 5. is it divisible by 10 yes because the last digit is zero write down 10 multiples of 3 so starting from 3 times 1 three three times two six three times three nine three times four twelve three times five fifteen so three times six eighteen three times 7 21 24 so how many we need another 3 24 3 times so this is 3 times 8 3 times 9 27 3 times 9 27 and 3 times 10 30. so all together 10. now write down 10 multiples of 4 times table 4 times 1 4 4 times 2 8 4 times three twelve four times four sixteen four times five twenty four times six twenty-four four times seven twenty-eight four times eight thirty-two four times 9 36 and 4 times 10 40. write down the common multiples of 3 and 4 look at carefully what are the common numbers so i'll highlight those common terms can you see 12 then what are the other numbers 24 then according to this one that's all write down the lowest common multiple out of these common multiples what is the lowest one that's 12. look at this one write down 12 multiples of 4. so we write it again four 
,times one four times two four times three four times four four times five four times six four times seven four times eight four times nine four times nine and four times ten four times eleven and 4 times 12 so we need 12 multiples write down 10 multiples of 6 6 times 1 6 times 2 six times three six times four six times five six 
,times six six times seven six times eight six times nine and six times ten sixty so we need ten multiples of six write down the common multiples of 4 and 6 by looking at these factors you can write down common one what are the common ones i can see 12. then what's the next one 24 next one 36 and you get forty eight now write down the lowest common multiple out of this the lowest one is 12 now what are factors can we divide 18 mangoes between two three four five six friends without a remainder so we'll figure out eighteen when you divide by two you get nine so it's a whole number so you can divide then divide by 3 so we'll divide by 3 now 18 divided by 
,3 so you get 6 18 divided by 4 can you divide 4 times 4 16 and there's a remainder remainder two eighteen divided by five you get five times three fifteen remainder 
,3 18 divided by 6 you get 6 times 3. so can we divide 18 man goes between two yes three yes but you can't divide it by four can we divide it by five no but we can divide it by six numbers that are divisible without a remainder that's two three and six numbers that are not divisible without a remainder that's four and five if a number divisible by another number without a remainder then the second number is a factor of the first number so here we can say 2 is a factor and 9 is also a factor 
,3 is a factor 6 also a factor 6 is a factor and 3 also a factor now we found out 18 you can divide by 1 that's 80. divide by 2 that's 9. divide by 3 that's 6 divide 
,by 6 you get 3 divide by 9. you get 2 18 divided by 18 also possible you get 1 all are whole numbers without a remainder so those are called factors of 18. so what are the factors starting from 1 then you get 2 it's divisible by 3 is divisible by what are 6 9 and then 18. so we call these are factors of 18. look at carefully you see one and the number itself also a factor look at this number 12 we'll find out what are the factors we know 12 we can write 1 times 12. if you take 2 2 times 6 3 times 4 so 12 can be written as multiplication of two numbers all the whole numbers are called factors of twelve so all these numbers we call factors so what's the 
,lowest one one then two three 4 and what are 6 and 12. those are factors of 12 write down the set of factors of 36 so 36 i can write 1 times 36 36 is again 2 times what you can divide by 2 you get 2 times 18 three times divide by three you get 12 4 times 9 36 and 6 times 6. now what are the factors so you have to write or one two three four what else now six twice is there but we don't write six twice in the set only once so we can write 6 only once and then 9 12 18 and 36 so those are the 
,factors of 36 write down the set of factors of the following numbers factors of one one means one times one so just 1 factors of 2 1 times 2 or 2 times 1. so 1 and 2. factors of 3 1 times three three times one factors of four one two times two and four times one so one two four factors of five one times five and what about factors of six one two times three so 3 is there and 6 times 1 factors of 7 1 times 7 1 and 7 factors of 8 two times four so two four and then eight times one factors of 
,nine what are the factors of nine one three times three we only write once and nine times one factors of ten we can write one then five times two so two times 5 and 
,10 factors of 11 1 times 11 it's 1 and 11. and factors of twelve one times twelve two times six three times four and here two times six and 12 times 1. so these are 
,the factors of all these numbers now when you look at carefully always 1 and the number itself are the factors of any number so look at carefully 11 is there 12 is there 10. so 1 and the number itself is always a factor so what are the factors of 12 so if you can't figure out you can divide also two times six two times three three times one so what are the possible factors one two times six three times four so four is also yeah then six times two and then twelve times one factors of 12 factors of 18. when you divide by 2 you get 9. so 1 2. when you divide by 3 you get 3 times 6 then 3 times 6 then 6 also possible 2 times 9 so 9 is also possible and 18 
,times 1 18. so these are the factors of 80. some numbers have factors one and the number itself only look at these numbers two only one and two three is one and three five is one and five seven one and seven and eleven only 1 and 11 13 also 1 and 13 17 1 and 17 19 1 and 19 23 1 and 23 29 1 and 29 so these numbers we call as prime prime numbers so what are prime numbers the factors are only one and itself only two factors are there what is the number that only has factors of 1 and 31 that's 
,only 31 because 31 is a prime number what is the number that only has factors of 1 and 73 73 is a prime number that's 73. now we'll look at how we can solve problems using factors and multiples price of a pen is 16 rupees find the price of seven such pens so what we do we take the multiples of 7 multiples of 16. so price of 7 pence 16 times 7 so 7 times 6 42 4 remaining and 7 times 1 7 plus 4 11. so 112 rupees so what's the this answer that's the seventh multiple of 16. so 16 32 like that you take the seventh multiple of 16. fill in the blanks one kilo price is given for sugar what about the price for 3 kilos you multiply 115 multiplied by 3 3 times 5 
,15. 1 remaining so 3 times 1 three three plus one four three times one three three hundred and forty five rupees one kilo of flies seventy rupees what about four kilos you multiply 4 times 0 0 4 times 7 28 280 rupees now what about dal 1 kilo is 150 we need two and a half kilos so we can do separately if it's 150 for one kilo what about half a kilo we divide by 250 divided by 2 you get 75 and 2 kilos means you multiply by 2 150 times 2 you get 300. so 300 plus 75 you get 300 375. one kilo of rice is 80 rupees and what about 3 kilos multiplied by 3 3 times 0 0 3 times 8 24. what about this one 117 is 150 what about 3 so 3 times 150 zero three times five fifteen and three times one three plus one four four hundred fifty rupees now how we find out the total just add all these together five plus 5 10 1 remaining 5 5 8 13 13 plus 7 20 25 and 29 two remaining five plus two seven seven plus three ten ten plus four fourteen fourteen plus two sixty so thousand six hundred and ninety rupees is the total cost now this table shows 10 by 10 multiplication 10 by 10. using the table we can write the factors of twelve can you see three times eight three times eight twenty-four again four times six and 24 again six times four and eight times three so it shows some factors of 24 so what are the factors we can write all these numbers so it's 1 times that one not given here the table only shows 10 by 10 so up to 10. so factors of 24 by looking at this table we can see 3 four six eight three four six eight those are the factors we can get it from this table using the previous table show that the ways you get 18 so we'll look at 18 and see where you get 18 here 9 and 2 what else 18 is here eighteen is here and here that's all so two times nine two times nine then three times six six times three and nine times 2 6 times 3 9 times 2. so what are the factors of 18 using that table we get two three six nine two three six nine that's all we can see from that table now we'll look at the exercises and example in your textbook example one find the factors of 20 how we find out the factors of 20 so 20 i can write one times twenty then divide by two two times ten then can we divide by three four four times five five times four is also same six not possible seven not possible 8 9 10 10 times 2 so what 
,are the factors of 20 we can write down 1 2 what else 4 5 10 and 20. so those are the factors of 20 and remember zero is not a factor of a whole num exercise point one fill in the blanks with the appropriate whole numbers four i can write one times four what about two times two so one two and four are the factors of 4 look at 7 
,7 i can write 1 times 7 so what are the factors 1 and 7 this one 8 i can write 1 times 8 2 times 4 so what are the factors 1 2 4 and 8 are the factors of 8 15 one times fifty and i can write three times five so what are the factors here one three five and fifty twenty-four what are the factors one times twenty-four and two times twelve three times eight four times six so what are the factors 1 2 3 4 6 8 12 and 24 when the factors of 18 are written we obtain what are the factors of eighteen 
,one times eighteen two times nine and three times six so one two three six nine eighteen when the factors of forty are written so one times four t two times twenty then four times ten and five times four and eight times five so we can write eight also now look at question number two find the factors of each of the following numbers five five is a prime number so what are the factors one and 5 5 times 1 only 27 we can write 1 1 times 27 so 27 is also a factor so you can divide by 3 3 times 9. so 1 3 9 and then 27 so you can divide and 27 divided by 3 you get 9 divided by 3 you get 3 here so 3 with 9 and 9 with 3 and 27 so those are the factors of 27 17 
,is a prime number so what are the factors of 17 1 and the number itself 17. 22 so 1 is a factor 1 times 22 2 times 11 so you get 1 2 11 and 22 21 you can divide by 1 1 times 21 3 times 7 so that's all and 31 31 is a prime number so 1 and the number itself 31. thirty-two one times thirty-two two times sixteen four times eight then 2 times you get 16 and then 1 times 32 45 you get 1 this is divisible by 3 3 times 15 then 5 times 9 45 so 3 times 15 and then 1 times 45 so those are the factors 
,of 45 50. so what are the factors divide by one you get one times fifty two times twenty five five times ten ten times five and 2 times 25 and 1 times 50. 60 how can we find out factors 1 is always a factor two times thirty three times twenty four four times also possible sixty divide by four get four times one four for twenty that's five so fifty then six five also possible twelve times five then 6 times 10. now we'll write down the other numbers 5 times twelve so six times ten five times 
,twelve four times fifteen and three times twenty what does 3 times 20 and 2 times 30 and then 60. so those are the so those are the factors of 60. now we'll look at 
,example number one what are the factors of 72 that can be found using the above multiplication table so we'll look at the table and see how we get 72 where you get 72 1 is here and another one is here so 72 means 9 times 8 and 8 times 9 so i can write 72 is 9 times 8 or 8 times 9 so that means factors of 72 factors of 72 i can take a ten nine from the table example number two what are the factors of 18 that can be found using the above multiplication table 18 one is here another one is here this one what else this one so what are the possibilities two times nine then three times six 6 times 3 same and 9 times 2 same so from this table what are the factors of 18 i can write factors of 18 that's 2 3 6 9 exercise 11.2 what are the factors of each of the following numbers that can be found using the 10 by 10 multiplication table so we have to refer this table 48 where you get 48 1 2 so two possibilities so what are the factors i can write 6 8 that's all 6 and 8 81 here only one possibility nine times 9 so i can say 9 is a factor 2 this one this one that's all 2 into 1 2 into 1 so 1 and 2 28 this one what else here and that's all so 28 means 
,four and seven seven times four four and seven forty here and you'll get 40 here and here so 10 times 4 and what else 5 times eight so four five eight forty so four 
,five eight and ten so those are the factors of 40 from the table obtain different ways in which 36 can be written as a product of two whole numbers using the 10 times 10 tables and fill in the blanks 36 so we need to find out what are the possibilities we can get 36 check this one nine times four six times six and four times nine so six and six four and nine so nine and four four and nine six and six those are the three possibilities write down in ascending order the factors of 36 which can be obtained from the above products so ascending means smallest to highest so what's the smallest number that's four the next number is six and 9. so those are the 
,factors of 36 obtain different ways in which 9 can be written as a product of two numbers using 10 by 10 multiplication table and fill in the blanks nine one possibility is there so nine times one or one times nine what else nine is here three times three so those are the possibilities another one one times nine nine times 1 so 
,these are the possibilities so what are the factors if you are asking to write down the factors we can write 1 3 9 write down the different ways in which 30 can be written as a product of two whole numbers using 10 by 10 multiplication table thereby write down factors of 30 30 where you get 30 here and here what else so when you look at the table carefully you get three ways so three times ten oh five times six or 3 times 10 or 10 times 3 that's the same thing so what are the factors of 30. of 30 3 5 6 and 10 3 5 6 10. is 4 a factor of 9 explain the reason for your answer so 9 what are the possibilities here here and here so nine you can write three times three and 1 times 9 9 times 1 the same thing so is 4 is there 4 is not there so 4 is not a factor because you can't divide cannot divide by 4 without a remainder so when you divide you get a remainder so that's not a factor example number one find three factors of 30 by using the method of division thirty you can divide by one you get one times thirty thirty divided by two 2 times 50 30 divided by 3 3 times 10. so they're asking only 3 factors so you can write without writing 1 and the 
,number itself will take 2 3 10 so we need only 3 you can write 2 3 10 are factors of 30. example number 2 is 9 a factor of 12 explain the reason for answer so we'll 
,divide and see nine times one we'll do long division 9 times 1 9 and 3 is the remainder you get a remainder there so is 9 a factor of 12 it's not so you can write 9 
,is not a factor factor of 12 because we get a remainder three exercise 11.3 find three factors of each of the following numbers using the method of division 28 i can divide by two you get 40. again 28 i can divide by 4 7. so you need only three factors so i can write 2 4 7 and 14 also possible so i'll write 14 as well 32 32 i can divide by two you get 16. again 32 i can divide by 8 8 times 4 so what are the factors of 32 2 4 8 16 you can write 54 54 divided by 2 2 times 2 4 that's 7. then 20 again 54 divided by 6 6 times 9 54. so what are the factors of 54 i can write 2 6 9 54 27 90 i can divide by 2 that's 45 and i can divide this by 3 3 times 30. so 
,what are the factors 2 3 30 45 90 those are factors i'm only writing 3 21 i can divide by 3 i get 7 what is and 21 i can divide by 1 so 3 one so i can write 1 3 7 21 question number two is 6 a factor of 84 will divide and see 84 divide by 6 6 times 1 6 2 remaining for 24 that's 4 6 times 4 24 and the remainder is 0. so explain the answer by the method of division so we can say 6 is a factor of 84 because the remainder i'll write as remainder is 0. is 5 a factor of 48 explain the reason for 
,your answer so we'll divide and see 48 divided by five five times eight forty five times nine five times nine forty five and three remaining so the remainder is three we can write as remainder is three 5 is not a factor of 48. example number one check whether 14 is a multiple of 2 by dividing 14 by 2 2 times 7 14 and you get the remainder 0. so that means you can say check whether 14 is a multiple of 2 by dividing so 14 i can write two times seven so that's a multiple so you can write multiple of 2 of 2 by 7 is 40. check whether 42 is a multiple of 3 by dividing 42 by 3 3 times 1 3. for 12 that's 14. that's 4 three times four twelve and the remainder is zero so remainder is zero so you can write 42 is three times fourteen so that's the multiple exercise 11.4 write down 5 multiples of 2 which are greater than 10. so what are the multiples two times five ten two times six that's twelve two times seven fourteen two times eight sixteen two times nine eighteen and two times 10 20. so we need to write numbers greater than 10. write down 4 multiples of 3 between 1 and 20. multiples of 3 3 times 1 3 3 times 2 6 3 times 3 9 3 times 4 12. so 1 2 3 4 only 4 multiples write down all the multiples of 4 between 1 and 25 4 times 1 4 4 times 2 8 4 times 3 12 4 x 4 16 4 x 5 20 4 x 6 24 so those are the multiples of 
,4 in between 1 and 25 from the following numbers select and write down the multiples of 3. so multiples of 3 means it should be divisible 60 3 times 20. now we'll check 150 it's not divisible by 3 so we can show that 115 is not divisible 3 times 3 9 for 25 that's 8 24 and the remainder is 1. so it's not divisible 48 it's divisible just check 3 1 3 times 1 3 four eighteen that's six so you can write three times sixteen twenty six you can't divide by three 14 also not divisible by 27 we know 
,that that's three times nine so that's also a multiple of three how many multiples of nine are they are between one and hundred we'll check nine what else nine times two nine times three nine times four nine times five nine times six nine times seven nine times eight nine times nine nine times ten nine times eleven now how many 
,are there one two three 4 5 6 7 8 9 10 11 multiples are there of these numbers which is the greatest multiple of 9 what's the greatest one that's 99 so the greatest 
,multiple is 99 write down three multiples of 18 18 times one eighteen eighteen times two two times eight sixteen two times one two plus one is thirty six then multiply by three three times 8 24 2 remaining 3 times 1 3 plus 2 that's 5 54. what is the largest multiple of 9 which is less than 150 so we'll divide and see 150 divide 
,by 9 and see what's the number 9 times one nine so you get six for sixty nine times nine times six 54. that's the remainder is 6. so 9 times 16 is what that's the largest number you can get so 16 times 9 you get 9 times 6 54 5 remaining 9 times 1 9 plus 5 14. so 144 is the largest possible value now 9 times 654 9 times 1 9 plus 
,5. 14 so 144 is the largest multiple of nine write down five multiples of each of the following numbers four times one four times two four times three four times four four times five so we need five only thirteen times one thirteen times two thirteen times three thirteen times four four times three twelve four times one four plus one five then five five times three fifteen one remaining five times one five plus one six so those are the five fifteen fifteen times one fifteen times 2 30 15 times 3 45 you can add 15 to that 45 plus 15 or 4 times 15 that's 60 then 6 times 15 2 3 4 5 we'll do 5 first 5 times 5 25 2 remaining 5 times 1 5 plus 2 7. so 1 2 3 4 5 eighteen eighteen times one eighteen eighteen times two thirty six eighteen times three three times eight twenty-four three times one three three plus two five fifty-four then four four times eighteen thirty-two four times one four plus three seven one two three four we need another more one more five times eight forty five times one five plus four nine so ninety twenty twenty times one twenty times two twenty times three twenty times four 20 times 5 so add 20 to each number question number 9 fill in the blanks any multiple of 10 is necessarily a multiple of because last digit is 0 that means divisible by 2 and 10 means it's divisible by 5 as well 11 times 7 is 77 so therefore 77 is a multiple of 11 and of 7 7 times 11 or 11 times seven write down two numbers which are multiples of both three and four three times four twelve four times three twelve then multiples any multiple is possible so you can write 24 write down a number which is a multiple of 2 3 4. so you can take 
,12 or 24 so 12 is divisible by 2 so that means 2 times 6 three times four four times three so you can write 12 or 24 any number example number one there are 30 apples in a bag they are separated into bags such that each bag has an equal number of apples find out the number of apples in a bag and the number of bags in each instance the total number of apples is obtained by product of the number of apples in the bag and the number of bags hence we find out the number of bags and the number of apples in each bag by considering the products of two factors of thirty so one times thirty two times fifteen three times ten and five times six six times five ten 
